Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.JY.A938	0.000188798231768563	0.0395710941277965	0	0.0886825975679636	0	0.164267358004584	0	0.0986399452596102	0.141487433393454	0	0	0.147465466352349	0.0267526652014774	0.00315036346878294	0.115085429687634	0.108788188785006	0	0.0218073498550032	0	0.0441133100645703	0	0	9999	0.172175633438256	1.03778042205982
TCGA.JY.A939	0.0567993458862372	0	0	0.0895574789108873	0	0.324194266606803	0.0165202203392428	0.0360882719969377	0.0712385547169155	0	0.0551795491955074	0	0.0141870835737266	0.0614639200816545	0.0745249858865228	0.110324983010834	0	0.00651368895387195	0.083407650840859	0	0	0	9999	0.182059209166309	1.01981720825081
TCGA.JY.A93C	0.0351923741206027	0	0.0948737638781347	0.0544774192466819	0	0.246766136058283	0	0.0226450441699085	0.0716767292157622	0	0.0305609402347086	0	0	0.149581241477549	0	0.128370436994401	0	0.0496877601208005	0	0.115623291183914	0	0.000544863299254358	9999	0.0240406254491632	1.07946564813082
TCGA.JY.A93D	0.0408746906880704	0.0519491613160362	0	0	0	0.277599986557793	0	0.0582191349794311	0.00329838598038268	0	0.0757560308240652	0	0.0293336216647767	0.00556527699413159	0.062840069632451	0.247187266207508	0	0.0287352091178224	0.118641166037531	0	0	0	9999	0.140009446698551	1.02543054238651
TCGA.JY.A93E	0.0286846525026673	0.15884738795965	0.0112072851193952	0.068441887756747	0	0.232247658699962	0.0160447926636814	0.0710683447489408	0.0557900357842952	0	0.029533658451241	0	0.0140683747232233	0.0490695158575841	0.0409967440105044	0.17388102417095	0	0.0257836352155328	0.0243350023356245	0	0	0	9999	0.111544183614347	1.04142973099664
TCGA.JY.A93F	0	0	0.00405560704681076	0.0377628753603787	0	0.164328033759708	0.0477083487374142	0.0533282213957329	0	0	0.0219185721451973	0.0232002860740855	0.0110955511138586	0	0.00713266775987981	0.0926927540456381	0	0.13585281719476	0	0.386593923767648	0	0.0143303415988875	9999	-0.0163575303255852	1.14039849325766
TCGA.KH.A6WC	0	0	0.0448378532519632	0.0133688876938841	0	0.208189382715459	0	0.0982534510440186	0.0685598839483918	0	0.00690555271589223	0.0339379694316036	0.0108782666036215	0.0185793272615045	0.0860064044687844	0.17521918949334	0.076735208203711	0.0407292195980975	0.117799403569728	0	0	0	9999	-0.0348974101373998	1.09320582055261
TCGA.L5.A43C	0	0.0242175237782536	0.00223517659933047	0.00127427938054403	0	0.146194331295226	0	0.0211246963423805	0.0110939978532517	0	0.0418318959263854	0	0.0222157062856855	0.21401634524921	0.0111809971530502	0.103824239184474	0	0.0604597496758346	0	0.313648330179981	0	0.0266827310963934	9999	0.320983099760194	0.970609730750977
TCGA.L5.A43E	0.0219356764911234	0.00877939598223804	0.0856105689407984	0.0485053024894485	0	0.280559302927387	0	0.10237910521535	0.0505019516164633	0	0.146598455533036	0	0.0467117697268675	0.0338608199387054	0.0374273415600128	0.0320526360736033	0	0.0315261079305876	0	0.0735515655743788	0	0	9999	0.0202670479125842	1.09028046460925
TCGA.L5.A43I	0.0184831614291587	0	0	0	0	0.423391636513849	0	0.0365259936928198	0.0584006760204717	0	0.0859493186223641	0	0.0629815274994512	0	0	0.00258043841196627	0	0.00206203321699698	0	0.280081295432047	0.0295439191608757	0	9999	0.0245261392083185	1.11535284821213
TCGA.L5.A43J	0.000248611574934065	0	0.00746655581075176	0	0	0.445725034219053	0	0	0	0	0.0158216071414256	0.0435003998936583	0	0.0918573699360987	0.104840205607204	0.227642713183738	0	0.0244664061547597	0	0.0384310964783759	0	0	9999	0.08097363467477	1.07376345838965
TCGA.L5.A43M	0	0	0.0301972059074526	0.084769729275637	0	0.330569386112535	0	0.0496955027097876	0.084079702324726	0	0.0212879764811759	0.0283010518558695	0.0170816210108575	0	0.000801028294534291	0.0977286363144589	0	0.126706502807218	0	0.12837257432763	0	0.000409082578117747	9999	0.0692633314717607	1.07427494052909
TCGA.L5.A4OE	0	0	0	0.117562781753987	0	0.189953005985851	0.0767013850500169	0.0756667890621099	0.0742189297426016	0	0.0539579887009136	0	0.000631147117382995	0	0.0425188277225651	0.109913515935786	0	0.0813641425188987	0	0.174570767975112	0	0.00294071843477537	9999	0.055587193055872	1.07486986659213
TCGA.L5.A4OF	0.151877135596323	0	0	0	0	0.436655459048706	0	0.0517196727164067	0.00752659963240356	0	0.070676333191327	0	0.0199305801237672	0.0252676884382265	0.0432227934477111	0.0309627007329637	0	0.0944240038604705	0	0.0677370332116953	0	0	9999	0.0207936579909765	1.09449877502538
TCGA.L5.A4OG	0	0	0.034894818026672	0.0150733044551893	0	0.288012752146347	0.0258052860714139	0.0545500782138847	0.0396375818570624	0	0.0835146928718545	0	0.00836194202071062	0.0788180303654756	0.010936367893169	0.0699533169946319	0	0.0898016089616755	0	0.200640220121913	0	0	9999	0.0773264680133666	1.06328846848644
TCGA.L5.A4OH	0.044719745909076	0	0	0	0	0.362858271623496	0	0.0601887379157225	0.0369952521315086	0	0.0523995767673021	0	0.0217129397667123	0	0.0766660794686138	0.0770418175059108	0	0.103361132836001	0	0.164056446075658	0	0	9999	-0.00308904702150794	1.10135995565234
TCGA.L5.A4OI	0	0.0379665929158236	0	0	0	0.320001429386684	0	0.059887661173286	0.122570516936204	0	0	0.125162687166603	0.076516667790501	0.0418953576850277	0.000493725709041857	0.00322296930021886	0	0	0	0.212282391936609	0	0	9999	0.0328771964867157	1.10386952615647
TCGA.L5.A4OJ	0	0.0322419363676852	0.116153997177999	0.0181681325746386	0	0.198169685573456	0	0.0474257307153643	0.0918589977025418	0	0.0264766400944099	0	0	0.0100175505780588	0.00221207846610819	0.0684963313321948	0	0.0330572189647648	0	0.355721700452778	0	0	9999	0.0314271072636388	1.10658224808827
TCGA.L5.A4OM	0.0490699895334501	0	0	0	0	0.273176230439842	0	0.133541286342995	0	0	0	0.172621947973331	0.0367837113163072	0.0199597638834954	0.0415524007803712	0.0421542707793349	0.00835947157169393	0.0692269708474261	0	0.149535846526542	0.00226602963473135	0.00175208037048018	9999	-0.0177387415866487	1.11331094052583
TCGA.L5.A4ON	0.0428244664436503	0	0.00382801782997183	0	0	0.300153714985137	0	0.0188142550825026	0.0693648515983486	0	0.00901698583841746	0.0297702515099696	0.0119570453893051	0.034980564979346	0.0553542701635585	0.0565547618728429	0	0.0876150212444653	0	0.270568488860077	0	0.00919730420240794	9999	-0.00303431374884522	1.10818283129452
TCGA.L5.A4OO	0.0905597672938127	0	0	0	0	0.291401636455619	0	0.178732610852271	0.00362395276442223	0	0.0145496583444649	0.016872836552798	0.0400986322993269	0.0696013962904158	0.0756202618738189	0.071850280480419	0	0.0123887708647606	0.134700195927871	0	0	0	9999	0.145824888137263	1.03029506046656
TCGA.L5.A4OP	0.0419862115141467	0	0.0394296756643248	0	0	0.374410230584053	0.0108863600878798	0.0887835777856295	0.0874270700054033	0	0.129964231162701	0	0.0112911617976322	0.0139890027837457	0	0.0907791160845913	0	0.0576720973339932	0	0.0533812651958997	0	0	9999	0.0697542302453727	1.07764281012177
TCGA.L5.A4OQ	0.156614551609862	0	0	0.11086792442576	0	0.179820504429917	0.0424079769020166	0.1229907455657	0.02174628571382	0	0.0578291408292465	0	0.051467212976478	0.0574381270235476	0.0116005297985548	0	0	0.0225248081820786	0	0.156453908813917	0.00823828372910299	0	9999	0.0557791908822936	1.07075846286097
TCGA.L5.A4OR	0.0128142610691293	0	0.0558422653123533	0	0	0.319522536272655	0	0.0848304005686719	0.0559593179354906	0	0.0293948452437566	0.0250899079180783	0.0330146443585186	0.0485938851234023	0.00525629076582243	0.0290275196302739	0	0.0261920057130103	0	0.274462120088838	0	0	9999	0.0403221291115232	1.09236507243908
TCGA.L5.A4OS	0.0238699043947087	0.00501208993339559	0.025941893022252	0.0197172745894969	0	0.194855355010372	0	0.111024533191978	0.0241873116581488	0	0.0108200366669387	0.00104886716570095	0.002233663741756	0.13613248006764	0.0973975528032211	0.19992692862435	0	0.0197467186994305	0	0.120266437912823	0	0.00781895251778748	9999	0.208220948495377	1.00663789709102
TCGA.L5.A4OT	0.0751295759299976	0	0	0	0	0.369486209195506	0.00358669946746102	0.0517446775979115	0.0444398015103309	0	0.0359478281197473	0	0.010671247217229	0	0.0529040836030814	0.254950659967623	0	0.0136082268462647	0.00704088864808858	0.0804901018967581	0	0	9999	0.0199923989003559	1.08468745187094
TCGA.L5.A4OU	0.0491198417846073	0.00143416936107488	0	0.0867029427642973	0	0.0426479263286901	0.0933830139982356	0.088310217510603	0.0371874341149616	0	0.043159488966459	0.0795815576148551	0.021847230615959	0	0.0920593702390705	0.226286217863839	0	0.0956021950489435	0.0426783937884042	0	0	0	9999	0.144661607555564	1.02983887334054
TCGA.L5.A4OW	0.0994958727644761	0	0.0106255421607951	0	0	0.314251246555722	0	0.112678411077119	0.0675236948805913	0	0.074235305385784	0	0.0175642302902342	0.0691412840861541	0.0306288232015171	0.0395958267041122	0	0.0398704116271089	0	0.124389351266386	0	0	9999	0.0490038764919117	1.07505733239251
TCGA.L5.A4OX	0.0709663037623487	0	0.00491815576292543	0.12241333392114	0	0.286640260611853	0.0311268922782209	0.101652111197178	0.0437590271318774	0	0.0168401699963446	0.0442078699590716	0.0123993422809245	0	0.0324052603991724	0.153975722697468	0	0.0786955500014755	0	0	0	0	9999	0.0397670828161482	1.09123468945828
TCGA.L5.A88S	0	0	0.00568600065678839	0	0	0.174245018503961	0	0	0.00685750101951358	0	0.0118851174119741	0.0135541147542256	0.0390578189364832	0	0.019701777642064	0.495241408982783	0	0.0729803507983583	0.153837736034885	0	0	0.00695315525896361	9999	0.245608188040867	0.999656419364906
TCGA.L5.A88T	0.0347224520417056	0.0158035222798721	0.002546390503909	0.0932432246384202	0	0.165447457430062	0	0.0241824473269905	0.0565197777060484	0	0.0896380852023106	0	0.0296008156735492	0.0237910168083709	0.0104697117327616	0.207495995135813	0.0618861065195039	0.034018662465735	0.150634334534948	0	0	0	9999	0.00545070191820496	1.0772091225906
